event,ID,year,municipality,gender,start,end,participant,duration,view,complete
Task 1,,,,,2023-05-04 00:00:00,2023-05-04 00:00:10,P1,10.0,AgeButton,True
FilterSetCreated,2146828882,2017,,both,2023-05-04 00:00:00,2023-05-04 00:00:10,P1,10.0,IncomeButton,False
FilterSetCreated,2146828653,2017,,both,2023-05-04 00:00:10,2023-05-04 00:00:25,P1,15.0,IncomeButton,True
FilterSetUpdated,2146828653,2016,Norrk?ping,both,2023-05-04 00:00:25,2023-05-04 00:00:26,P1,1.0,IncomeButton,True
FilterSetUpdated,2146828653,2017,Norrk?ping,both,2023-05-04 00:00:25,2023-05-04 00:00:26,P1,1.0,IncomeButton,True
FilterSetUpdated,2146828653,2016,Norrk?ping,both,2023-05-04 00:00:26,2023-05-04 00:00:54,P1,28.0,IncomeButton,True
FilterSetUpdated,2146828653,2017,Norrk?ping,both,2023-05-04 00:00:26,2023-05-04 00:00:54,P1,28.0,IncomeButton,True
FilterSetUpdated,2146828653,2016,Norrk?ping,both,2023-05-04 00:00:26,2023-05-04 00:00:54,P1,28.0,IncomeButton,True
FilterSetUpdated,2146828653,2015,Norrk?ping,both,2023-05-04 00:00:26,2023-05-04 00:00:54,P1,28.0,IncomeButton,True
FilterSetUpdated,2146828653,2016,Norrk?ping,both,2023-05-04 00:00:26,2023-05-04 00:00:54,P1,28.0,IncomeButton,True
FilterSetUpdated,2146828653,2015,Norrk?ping,both,2023-05-04 00:00:26,2023-05-04 00:00:54,P1,28.0,IncomeButton,True
FilterSetUpdated,2146828653,2017,Norrk?ping,both,2023-05-04 00:00:26,2023-05-04 00:00:54,P1,28.0,IncomeButton,True
FilterSetUpdated,2146828653,2016,Norrk?ping,both,2023-05-04 00:00:26,2023-05-04 00:00:54,P1,28.0,IncomeButton,True
FilterSetUpdated,2146828653,2017,Norrk?ping,both,2023-05-04 00:00:26,2023-05-04 00:00:54,P1,28.0,IncomeButton,True
