event,ID,start,end,participant,duration,complete
Task 1,,2023-05-04 00:00:00,2023-05-04 00:00:12,P2,12.0,True
FilterSetCreated,2146600958,2023-05-04 00:00:12,2023-05-04 00:00:23,P2,11.0,True
FilterSetCreated,2146600802,2023-05-04 00:00:23,2023-05-04 00:00:39,P2,11.0,True
FilterSetUpdated,2146600958,2023-05-04 00:00:39,2023-05-04 00:01:11,P2,4.0,True
FilterSetCreated,2146600558,2023-05-04 00:01:16,2023-05-04 00:02:02,P2,3.0,True
Task 2,,2023-05-04 00:01:57,2023-05-04 00:02:02,P2,5.0,True
FilterSetUpdated,2146600558,2023-05-04 00:02:02,2023-05-04 00:02:24,P2,2.0,True
FilterSetCreated,2146600401,2023-05-04 00:02:24,2023-05-04 00:02:30,P2,2.0,True
FilterSetCreated,2146600242,2023-05-04 00:02:30,2023-05-04 00:02:34,P2,4.0,True
FilterSetCreated,2146600087,2023-05-04 00:02:30,2023-05-04 00:02:34,P2,4.0,True
FilterSetDestroyed,2146600242,2023-05-04 00:02:34,2023-05-04 00:02:40,P2,6.0,True
FilterSetUpdated,2146600087,2023-05-04 00:02:40,2023-05-04 00:03:24,P2,4.0,True
Task 3,,2023-05-04 00:03:24,2023-05-04 00:03:31,P2,7.0,True
FilterSetDestroyed,2146600558,2023-05-04 00:03:31,2023-05-04 00:03:32,P2,1.0,True
FilterSetDestroyed,2146600087,2023-05-04 00:03:32,2023-05-04 00:04:22,P2,50.0,True
FilterSetCreated,2146599917,2023-05-04 00:04:27,2023-05-04 00:04:36,P2,9.0,True
FilterSetCreated,2146599711,2023-05-04 00:05:10,2023-05-04 00:05:12,P2,1.0,True
FilterSetDestroyed,2146599917,2023-05-04 00:05:12,2023-05-04 00:05:25,P2,13.0,True
FilterSetCreated,2146599548,2023-05-04 00:05:25,2023-05-04 00:05:36,P2,11.0,True
FilterSetCreated,2146599393,2023-05-04 00:05:36,2023-05-04 00:05:44,P2,8.0,True
FilterSetCreated,2146599238,2023-05-04 00:05:44,2023-05-04 00:05:50,P2,6.0,True
FilterSetCreated,2146599083,2023-05-04 00:05:50,2023-05-04 00:06:07,P2,17.0,True
FilterSetDestroyed,2146599393,2023-05-04 00:06:07,2023-05-04 00:06:10,P2,3.0,True
FilterSetDestroyed,2146599238,2023-05-04 00:06:10,2023-05-04 00:06:11,P2,1.0,True
FilterSetUpdated,2146599548,2023-05-04 00:06:11,2023-05-04 00:06:21,P2,3.0,True
FilterSetCreated,2146598916,2023-05-04 00:06:21,2023-05-04 00:06:27,P2,6.0,True
FilterSetCreated,2146598761,2023-05-04 00:06:27,2023-05-04 00:06:31,P2,3.0,True
FilterSetDestroyed,2146599083,2023-05-04 00:06:31,2023-05-04 00:06:39,P2,8.0,True
FilterSetCreated,2146598598,2023-05-04 00:06:39,2023-05-04 00:06:45,P2,2.0,True
FilterSetCreated,2146598439,2023-05-04 00:06:45,2023-05-04 00:06:56,P2,3.0,True
FilterSetCreated,2146598280,2023-05-04 00:06:56,2023-05-04 00:07:07,P2,2.0,True
FilterSetCreated,2146598121,2023-05-04 00:07:07,2023-05-04 00:07:13,P2,3.0,True
FilterSetCreated,2146597962,2023-05-04 00:07:13,2023-05-04 00:07:19,P2,2.0,True
FilterSetCreated,2146597803,2023-05-04 00:07:19,2023-05-04 00:07:29,P2,3.0,True
FilterSetCreated,2146597644,2023-05-04 00:07:29,2023-05-04 00:07:32,P2,2.0,True
FilterSetUpdated,2146598916,2023-05-04 00:07:32,2023-05-04 00:08:01,P2,1.0,True
Task 4,,2023-05-04 00:08:01,2023-05-04 00:08:04,P2,3.0,True
FilterSetCreated,2146597481,2023-05-04 00:08:04,2023-05-04 00:08:11,P2,7.0,False
FilterSetCreated,2146597326,2023-05-04 00:08:11,2023-05-04 00:08:24,P2,2.0,False
FilterSetCreated,2146597170,2023-05-04 00:08:24,2023-05-04 00:08:30,P2,6.0,False
FilterSetCreated,2146597015,2023-05-04 00:08:30,2023-05-04 00:08:44,P2,4.0,False
FilterSetUpdated,2146597170,2023-05-04 00:08:44,2023-05-04 00:08:58,P2,1.0,False
FilterSetUpdated,2146597015,2023-05-04 00:08:58,2023-05-04 00:10:01,P2,1.0,False
Task 5,,2023-05-04 00:10:01,2023-05-04 00:10:41,P2,40.0,True
FilterSetUpdated,2146597170,2023-05-04 00:10:41,2023-05-04 00:10:44,P2,3.0,False
FilterSetUpdated,2146597481,2023-05-04 00:10:44,2023-05-04 00:14:57,P2,253.0,False
FilterSetCreated,2146596831,2023-05-04 00:14:57,2023-05-04 00:15:07,P2,10.0,False
FilterSetCreated,2146596596,2023-05-04 00:15:07,2023-05-04 00:15:21,P2,5.0,False
FilterSetCreated,2146596440,2023-05-04 00:15:21,2023-05-04 00:19:05,P2,4.0,False
FilterSetCreated,2146596277,2023-05-04 00:19:05,2023-05-04 00:19:19,P2,5.0,True
FilterSetCreated,2146596044,2023-05-04 00:19:19,2023-05-04 00:20:35,P2,4.0,False
Task 6,,2023-05-04 00:20:35,2023-05-04 00:20:38,P2,3.0,True
