event,object,data_view,data_table,dimensions,year,municipality,gender,start,participant
Task 1,,,,,,,,2023-05-04 00:00:00,P3
ActorSpawned,BP_RegionMarker3DWidgets_C_2146413469,,,,,,,2023-05-04 00:00:00,P3
FilterSetCreated,FilterSet_WBP_BubbleGroup_C_2146413467,,,,2017,,,2023-05-04 00:00:00,P3
DataViewCreated,DataView_2146413425,Age-Main,Age,"[AgeGroup, Gender, Year]",,,,2023-05-04 00:00:00,P3
DataViewCreated,DataView_2146413424,Age-Education-Side,Education,"[Education, Year]",,,,2023-05-04 00:00:00,P3
DataViewCreated,DataView_2146413423,Age-Income-Side,Income,"[Income, Year]",,,,2023-05-04 00:00:00,P3
DataViewCreated,DataView_2146413422,AverageAge-Nation,AverageAge,[Year],,,,2023-05-04 00:00:00,P3
DataViewCreated,DataView_2146413314,AverageIncome-Municipality,AverageIncome,"[Municipality, Year]",,,,2023-05-04 00:00:09,P3
FilterSetUpdated,SharedMapFilters,,,,2017,,,2023-05-04 00:00:09,P3
ActorDestroyed,BP_RegionMarker3DWidgets_C_2146413798,,,,,,,2023-05-04 00:00:09,P3
ActorSpawned,BP_RegionMarker3DWidgets_C_2146413310,,,,,,,2023-05-04 00:00:09,P3
DataViewCreated,DataView_2146413295,AverageIncome-MapFilter-Info,AverageIncome,[Year],,,,2023-05-04 00:00:09,P3
DataViewCreated,DataView_2146413294,AverageIncome-MapFilter-Info,AverageIncome,[Year],,,,2023-05-04 00:00:09,P3
DataViewCreated,DataView_2146413293,AverageIncome-MapFilter-Info,AverageIncome,[Year],,,,2023-05-04 00:00:09,P3
DataViewCreated,DataView_2146413292,AverageIncome-MapFilter-Info,AverageIncome,[Year],,,,2023-05-04 00:00:09,P3
ActiveMapFiltersChanged,IncomeMapFilters,,,,,,,2023-05-04 00:00:09,P3
DataViewDestroyed,DataView_2146413295,AverageIncome-MapFilter-Info,AverageIncome,[],,,,2023-05-04 00:00:09,P3
FilterSetUpdated,SharedMapFilters,,,,2017,,,2023-05-04 00:00:09,P3
ButtonClicked,IncomeButton,,,,,,,2023-05-04 00:00:09,P3
FilterSetCreated,FilterSet_WBP_BubbleGroup_C_2146413308,,,,2017,,,2023-05-04 00:00:09,P3
DataViewCreated,DataView_2146413262,Income-Main,Income,"[Income, Year]",,,,2023-05-04 00:00:09,P3
DataViewCreated,DataView_2146413261,Education-Age-Side,Income,"[AgeGroup, Gender, Year]",,,,2023-05-04 00:00:09,P3
DataViewCreated,DataView_2146413260,Income-Education-Side,EducationIncome,"[Education, Year]",,,,2023-05-04 00:00:09,P3
DataViewCreated,DataView_2146413259,AverageIncome-Nation,AverageIncome,[Year],,,,2023-05-04 00:00:09,P3
FilterSetUpdated,SharedMapFilters,,,,2017,,,2023-05-04 00:00:09,P3
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146413467,,,,2016,Norrk?ping,,2023-05-04 00:00:22,P3
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146413467,,,,2017,Norrk?ping,,2023-05-04 00:00:22,P3
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146413467,,,,2016,Norrk?ping,,2023-05-04 00:00:22,P3
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146413467,,,,2015,Norrk?ping,,2023-05-04 00:00:22,P3
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146413467,,,,2016,Norrk?ping,,2023-05-04 00:00:22,P3
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146413467,,,,2015,Norrk?ping,,2023-05-04 00:00:22,P3
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146413467,,,,2014,Norrk?ping,,2023-05-04 00:00:22,P3
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146413467,,,,2015,Norrk?ping,,2023-05-04 00:00:22,P3
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146413467,,,,2014,Norrk?ping,,2023-05-04 00:00:22,P3
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146413467,,,,2013,Norrk?ping,,2023-05-04 00:00:22,P3
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146413467,,,,2014,Norrk?ping,,2023-05-04 00:00:22,P3
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146413467,,,,2013,Norrk?ping,,2023-05-04 00:00:22,P3
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146413467,,,,2012,Norrk?ping,,2023-05-04 00:00:22,P3
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146413467,,,,2013,Norrk?ping,,2023-05-04 00:00:22,P3
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146413467,,,,2012,Norrk?ping,,2023-05-04 00:00:22,P3
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146413467,,,,2011,Norrk?ping,,2023-05-04 00:00:22,P3
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146413467,,,,2012,Norrk?ping,,2023-05-04 00:00:22,P3
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146413467,,,,2011,Norrk?ping,,2023-05-04 00:00:22,P3
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146413467,,,,2012,Norrk?ping,,2023-05-04 00:00:25,P3
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146413467,,,,2011,Norrk?ping,,2023-05-04 00:00:25,P3
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146413467,,,,2012,Norrk?ping,,2023-05-04 00:00:25,P3
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146413467,,,,2013,Norrk?ping,,2023-05-04 00:00:25,P3
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146413467,,,,2015,Norrk?ping,,2023-05-04 00:00:25,P3
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146413467,,,,2013,Norrk?ping,,2023-05-04 00:00:25,P3
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146413467,,,,2016,Norrk?ping,,2023-05-04 00:00:25,P3
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146413467,,,,2015,Norrk?ping,,2023-05-04 00:00:25,P3
FilterSetUpdated,FilterSet_WBP_BubbleGroup_C_2146413467,,,,2017,Norrk?ping,,2023-05-04 00:00:25,P3
ButtonClicked,IncomeButton,,,,,,,2023-05-04 00:00:35,P3
Task 2,,,,,,,,2023-05-04 00:01:33,P3
DataViewDestroyed,DataView_2146413314,AverageIncome-Municipality,AverageIncome,[],,,,2023-05-04 00:01:36,P3
DataViewCreated,DataView_2146413080,AverageIncome-Municipality,AverageIncome,"[Municipality, Year]",,,,2023-05-04 00:01:36,P3
ActorDestroyed,BP_RegionMarker3DWidgets_C_2146413310,,,,,,,2023-05-04 00:01:36,P3
ActorSpawned,BP_RegionMarker3DWidgets_C_2146413076,,,,,,,2023-05-04 00:01:36,P3
FilterSetUpdated,SharedMapFilters,,,,2017,,male,2023-05-04 00:01:36,P3
ButtonClicked,MaleTouchButton,,,,,,,2023-05-04 00:01:36,P3
FilterSetCreated,FilterSet_WBP_BubbleGroup_C_2146413074,,,,2017,,male,2023-05-04 00:01:36,P3
DataViewCreated,DataView_2146413032,Income-Main,Income,"[Income, Year]",,,,2023-05-04 00:01:36,P3
DataViewCreated,DataView_2146413031,Education-Age-Side,Income,"[AgeGroup, Gender, Year]",,,,2023-05-04 00:01:36,P3
DataViewCreated,DataView_2146413030,Income-Education-Side,EducationIncome,"[Education, Year]",,,,2023-05-04 00:01:36,P3
DataViewCreated,DataView_2146413029,AverageIncome-Nation,AverageIncome,[Year],,,,2023-05-04 00:01:36,P3
FilterSetUpdated,SharedMapFilters,,,,2017,,female,2023-05-04 00:01:37,P3
