start,button,participant,end
2023-05-04 00:00:00,AgeButton,P5,2023-05-04 00:00:13
2023-05-04 00:00:13,IncomeButton,P5,2023-05-04 00:09:01
2023-05-04 00:09:01,EducationButton,P5,2023-05-04 00:09:17
2023-05-04 00:09:17,PopulationButton,P5,2023-05-04 00:10:40
2023-05-04 00:10:40,IncomeButton,P5,2023-05-04 00:10:41
2023-05-04 00:10:41,EducationButton,P5,2023-05-04 00:11:38
2023-05-04 00:11:38,AgeButton,P5,2023-05-04 00:14:06
2023-05-04 00:14:06,EducationButton,P5,2023-05-04 00:14:31
2023-05-04 00:14:31,PopulationButton,P5,2023-05-04 00:15:37
2023-05-04 00:00:00,Task 1,P5,
2023-05-04 00:01:24,Task 2,P5,
2023-05-04 00:02:13,Task 3,P5,
2023-05-04 00:07:01,Task 4,P5,
2023-05-04 00:08:56,Task 5,P5,
2023-05-04 00:15:37,Task 6,P5,
