event,object,data_view,data_table,dimensions,year,municipality,gender,start,participant,end,duration
Task 1,,,,,,,,2023-05-04 00:00:00,P7,2023-05-04 00:00:01,1.0
DataViewCreated,DataView_2147023320,AverageIncome-Municipality,AverageIncome,"[Municipality, Year]",,,both,2023-05-04 00:00:00,P7,2023-05-04 00:00:01,1.0
FilterSetUpdated,SharedMapFilters,,,,2017,,both,2023-05-04 00:00:00,P7,2023-05-04 00:00:01,1.0
ActorDestroyed,BP_RegionMarker3DWidgets_C_2147023659,,,,,,both,2023-05-04 00:00:00,P7,2023-05-04 00:00:01,1.0
ActorSpawned,BP_RegionMarker3DWidgets_C_2147023316,,,,,,both,2023-05-04 00:00:00,P7,2023-05-04 00:00:01,1.0
DataViewCreated,DataView_2147023301,AverageIncome-MapFilter-Info,AverageIncome,[Year],,,both,2023-05-04 00:00:00,P7,2023-05-04 00:00:01,1.0
DataViewCreated,DataView_2147023300,AverageIncome-MapFilter-Info,AverageIncome,[Year],,,both,2023-05-04 00:00:00,P7,2023-05-04 00:00:01,1.0
DataViewCreated,DataView_2147023299,AverageIncome-MapFilter-Info,AverageIncome,[Year],,,both,2023-05-04 00:00:00,P7,2023-05-04 00:00:01,1.0
DataViewCreated,DataView_2147023298,AverageIncome-MapFilter-Info,AverageIncome,[Year],,,both,2023-05-04 00:00:00,P7,2023-05-04 00:00:01,1.0
ActiveMapFiltersChanged,IncomeMapFilters,,,,,,both,2023-05-04 00:00:00,P7,2023-05-04 00:00:01,1.0
DataViewDestroyed,DataView_2147023301,AverageIncome-MapFilter-Info,AverageIncome,[],,,both,2023-05-04 00:00:00,P7,2023-05-04 00:00:01,1.0
FilterSetUpdated,SharedMapFilters,,,,2017,,both,2023-05-04 00:00:00,P7,2023-05-04 00:00:01,1.0
ButtonClicked,IncomeButton,,,,,,both,2023-05-04 00:00:00,P7,2023-05-04 00:00:01,1.0
FilterSetCreated,FilterSet_WBP_BubbleGroup_C_2147023314,,,,2017,,both,2023-05-04 00:00:01,P7,2023-05-04 00:00:05,4.0
